Plant,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
treat,,control,control,control,control,control,control,control,control,control,control,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR
gt,,Col,Col,Col,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,Col,Col,Col
treat_gt,,Col control,Col control,Col control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,Col EOD-FR,Col EOD-FR,Col EOD-FR
TL,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Data,32,22851292,18955038,22107896,17868664,7677544,11859336,26223332,10456474,9272264,6530983,32765384,25772094,29342416,26501032,21018564,24899392,40661644,33967724,34991976
,36,23215914,18999944,22288340,18512514,7823710,10515645,24872254,10336108,9091991,7132770,15763641,17567874,20189812,20558290,13904450,12167485,30934704,25267260,25655548
,40,22961396,18355146,21735804,17791896,7641663,11662161,24480736,11294462,9134455,7090930,15586443,17672928,19993852,20072112,13969459,12487188,29794584,25745752,25418640
,44,23551568,18569300,21815588,18556196,7778128,11451970,25401180,10709561,9027329,6656783,15656423,17186696,20694814,20791638,14063157,12664505,30574014,25691878,25461048
,48,23097976,18740732,21883158,19165624,7612213,12217585,24073748,10571178,8837210,6930789,15919717,18075490,21349852,21450168,14341391,12039841,29148890,25995054,25577092
,52,22655706,18496228,22554592,18720748,8805735,12329736,24364162,10678820,9788648,6923013,15887169,17381776,20906676,21874468,14151547,11752889,29501890,26277264,24989674
,56,22695058,18358704,21582104,18975806,8147790,12197323,24075730,10954490,8494699,6650679,15828069,17146220,21051502,21005530,14928300,11969061,29041528,26490996,25853796
,60,22410704,18189414,20896900,18082106,7822812,12373700,23785910,10541484,8395166,7014183,15943015,16794614,20731292,21803724,14558455,11833375,29349450,26637712,25043104
