name,time,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,Control 7,Control 8,Control 9,Control 10,Control 11,Control 12,Control 13,Control 14,Control 15,Control 16,Control 17,Control 18,Control 19,Control 20,Control 21,Control 22,Control 23,Control 24,Control 25,FR 1,FR 2,FR 3,FR 4,FR 5,FR 6,FR 7,FR 8,FR 9,FR 10,FR 11,FR 12,FR 13,FR 14,FR 15,FR 16,FR 17,FR 18,FR 19,FR 20,FR 21,FR 22,FR 23,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,Control 7,Control 8,Control 9,Control 10,Control 11,Control 12,Control 13,Control 14,Control 15,Control 16,Control 17,Control 18,Control 19,Control 20,FR 1,FR 2,FR 3,FR 4,FR 5,FR 6,FR 7,FR 8,FR 9,FR 10,FR 11,FR 12,FR 13,FR 14,FR 15,FR 16,FR 17,FR 18,FR 19,FR 20,FR 21,FR 22,FR 23,FR 24,FR 25,FR 26
treatment,,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR
TL,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1,TL1
plant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
date,,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.25.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07,2.27.07
uniq,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
Data,45,2281317,1913401,1514215,2496609,1773878,1052557,2422179,619056,2786284,1073790,1197890,1379124,2755327,1195076,1198711,1909472,1537389,1860027,1516903,2409075,2679570,2975737,1220392,1785853,1987472,2233056,1239960,2420918,2619690,1352857,3315514,1169397,749467,2873849,2259517,3871828,3392856,1227037,1190654,4064398,3254388,506895,3945074,3071023,1095535,1102993,619873,616096,1268669,3492966,3120493,1392452,2671202,1237827,4848855,3633626,3674899,3889334,2187037,4157323,2890425,3793752,1253455,2155573,699591,1292045,2151934,671439,699004,852251,831064,2021877,741972,812068,798149,3172001,1832775,476795,1059015,2995659,1304365,3658311,2945789,1028750,905527,829962,2393494,793294,1133226,3979637,3696546,2563240,2283128,2577836
,75,2251662,1985917,1509024,2792347,1707296,1133153,2315198,596534,2955316,1017278,1464662,1459504,2225676,1160289,1384570,1780613,2212077,1782473,1501253,2473690,2484887,2795571,1297210,1852844,2299916,2432802,1825020,2612864,3089724,1641435,3510202,1701234,780931,2839966,2732789,4252281,3718005,1437534,1693506,3405015,3697378,593838,4180640,3141211,1385094,1428896,776992,770858,1035925,3474575,2930732,1076598,2418886,1447994,4698231,3490811,3950592,4126054,2170223,4076274,2831018,3863759,1163755,2201852,918518,1528695,2326510,652736,907496,746941,804745,2469432,722623,766418,987768,3313051,1950070,931799,1133153,3553902,1492705,4379772,3229368,1177025,970689,944442,2732436,586160,1241785,4917765,3687580,3217312,2664305,2857788
