plant,signal,slice,time,date,treatment
1,16232059,0,-10,3.14.07,DMSO
2,5473187,0,-10,3.14.07,DMSO
3,12152460,0,-10,3.14.07,DMSO
4,12753623,0,-10,3.14.07,DMSO
5,9810456,0,-10,3.14.07,DMSO+FR
6,14589379,0,-10,3.14.07,DMSO+FR
7,8691671,0,-10,3.14.07,DMSO+FR
8,39233395,0,-10,3.14.07,NPA
9,52023319,0,-10,3.14.07,NPA
10,100623681,0,-10,3.14.07,NPA+FR
11,9107341,0,-10,3.14.07,NPA+FR
12,34970233,0,-10,3.14.07,NPA+FR
13,56271280,0,-10,3.14.07,NPA+FR
1,17577514,1,45,3.14.07,DMSO
2,5298110,1,45,3.14.07,DMSO
3,12479735,1,45,3.14.07,DMSO
4,13555463,1,45,3.14.07,DMSO
5,9985301,1,45,3.14.07,DMSO+FR
6,13677990,1,45,3.14.07,DMSO+FR
7,9152868,1,45,3.14.07,DMSO+FR
8,38444361,1,45,3.14.07,NPA
9,45761635,1,45,3.14.07,NPA
10,87794968,1,45,3.14.07,NPA+FR
11,7594917,1,45,3.14.07,NPA+FR
12,29717792,1,45,3.14.07,NPA+FR
13,49038981,1,45,3.14.07,NPA+FR
1,17585426,2,49,3.14.07,DMSO
2,5793094,2,49,3.14.07,DMSO
3,12567288,2,49,3.14.07,DMSO
4,13141650,2,49,3.14.07,DMSO
5,10281882,2,49,3.14.07,DMSO+FR
6,13716288,2,49,3.14.07,DMSO+FR
7,9038796,2,49,3.14.07,DMSO+FR
8,37666177,2,49,3.14.07,NPA
9,45768500,2,49,3.14.07,NPA
10,89232302,2,49,3.14.07,NPA+FR
11,7836879,2,49,3.14.07,NPA+FR
12,28582176,2,49,3.14.07,NPA+FR
13,51074381,2,49,3.14.07,NPA+FR
1,18575220,3,53,3.14.07,DMSO
2,5623006,3,53,3.14.07,DMSO
3,13261816,3,53,3.14.07,DMSO
4,13989836,3,53,3.14.07,DMSO
5,10892491,3,53,3.14.07,DMSO+FR
6,14712922,3,53,3.14.07,DMSO+FR
7,9451930,3,53,3.14.07,DMSO+FR
8,37719696,3,53,3.14.07,NPA
9,45302965,3,53,3.14.07,NPA
10,89836820,3,53,3.14.07,NPA+FR
11,8090117,3,53,3.14.07,NPA+FR
12,29971063,3,53,3.14.07,NPA+FR
13,51864232,3,53,3.14.07,NPA+FR
1,17535650,4,57,3.14.07,DMSO
2,4928408,4,57,3.14.07,DMSO
3,13366657,4,57,3.14.07,DMSO
4,14490629,4,57,3.14.07,DMSO
5,11133363,4,57,3.14.07,DMSO+FR
6,14476163,4,57,3.14.07,DMSO+FR
7,9644350,4,57,3.14.07,DMSO+FR
8,38000038,4,57,3.14.07,NPA
9,45145015,4,57,3.14.07,NPA
10,92916425,4,57,3.14.07,NPA+FR
11,8061581,4,57,3.14.07,NPA+FR
12,30283802,4,57,3.14.07,NPA+FR
13,51212163,4,57,3.14.07,NPA+FR
1,17323991,5,61,3.14.07,DMSO
2,5586346,5,61,3.14.07,DMSO
3,13033907,5,61,3.14.07,DMSO
4,14244615,5,61,3.14.07,DMSO
5,11337476,5,61,3.14.07,DMSO+FR
6,15252687,5,61,3.14.07,DMSO+FR
7,9682159,5,61,3.14.07,DMSO+FR
8,37027918,5,61,3.14.07,NPA
9,46204016,5,61,3.14.07,NPA
10,93566666,5,61,3.14.07,NPA+FR
11,8736244,5,61,3.14.07,NPA+FR
12,29696067,5,61,3.14.07,NPA+FR
13,52507089,5,61,3.14.07,NPA+FR
1,17561891,6,65,3.14.07,DMSO
2,5347987,6,65,3.14.07,DMSO
3,13189303,6,65,3.14.07,DMSO
4,13176121,6,65,3.14.07,DMSO
5,11729699,6,65,3.14.07,DMSO+FR
6,15518289,6,65,3.14.07,DMSO+FR
7,9786896,6,65,3.14.07,DMSO+FR
8,36869443,6,65,3.14.07,NPA
9,43728629,6,65,3.14.07,NPA
10,95442835,6,65,3.14.07,NPA+FR
11,8681217,6,65,3.14.07,NPA+FR
12,31811202,6,65,3.14.07,NPA+FR
13,55191785,6,65,3.14.07,NPA+FR
1,17330089,7,69,3.14.07,DMSO
2,5445442,7,69,3.14.07,DMSO
3,13529112,7,69,3.14.07,DMSO
4,14087907,7,69,3.14.07,DMSO
5,11900648,7,69,3.14.07,DMSO+FR
6,15562602,7,69,3.14.07,DMSO+FR
7,10349600,7,69,3.14.07,DMSO+FR
8,36130403,7,69,3.14.07,NPA
9,44106649,7,69,3.14.07,NPA
10,97207180,7,69,3.14.07,NPA+FR
11,9088653,7,69,3.14.07,NPA+FR
12,31781332,7,69,3.14.07,NPA+FR
13,56096589,7,69,3.14.07,NPA+FR
1,17022839,8,73,3.14.07,DMSO
2,5093596,8,73,3.14.07,DMSO
3,13581499,8,73,3.14.07,DMSO
4,13626932,8,73,3.14.07,DMSO
5,12964133,8,73,3.14.07,DMSO+FR
6,16335142,8,73,3.14.07,DMSO+FR
7,11401141,8,73,3.14.07,DMSO+FR
8,35844830,8,73,3.14.07,NPA
9,44749447,8,73,3.14.07,NPA
10,98044118,8,73,3.14.07,NPA+FR
11,9432720,8,73,3.14.07,NPA+FR
12,32015567,8,73,3.14.07,NPA+FR
13,57216035,8,73,3.14.07,NPA+FR
1,16755946,9,77,3.14.07,DMSO
2,5130559,9,77,3.14.07,DMSO
3,13979789,9,77,3.14.07,DMSO
4,14148922,9,77,3.14.07,DMSO
5,13891703,9,77,3.14.07,DMSO+FR
6,16878295,9,77,3.14.07,DMSO+FR
7,11889815,9,77,3.14.07,DMSO+FR
8,35593424,9,77,3.14.07,NPA
9,44588290,9,77,3.14.07,NPA
10,102237875,9,77,3.14.07,NPA+FR
11,9254696,9,77,3.14.07,NPA+FR
12,35822701,9,77,3.14.07,NPA+FR
13,59833100,9,77,3.14.07,NPA+FR
1,16889095,10,81,3.14.07,DMSO
2,5041823,10,81,3.14.07,DMSO
3,12846158,10,81,3.14.07,DMSO
4,13939760,10,81,3.14.07,DMSO
5,14285450,10,81,3.14.07,DMSO+FR
6,17444658,10,81,3.14.07,DMSO+FR
7,11280257,10,81,3.14.07,DMSO+FR
8,35281644,10,81,3.14.07,NPA
9,45132167,10,81,3.14.07,NPA
