"","plant","hyp","gt","treat","plate"
"89",1,5.373,"yucQ","EOD-FR",2
"90",2,6.067,"yucQ","EOD-FR",2
"91",3,6.597,"yucQ","EOD-FR",2
"92",4,4.377,"yucQ","EOD-FR",2
"93",5,4.608,"yucQ","EOD-FR",2
"94",6,3.834,"yucQ","EOD-FR",2
"95",7,6.513,"yucQ","EOD-FR",2
"96",8,6.705,"yucQ","EOD-FR",2
"97",9,6.293,"yucQ","EOD-FR",2
"98",10,3.821,"yucQ","EOD-FR",2
"99",11,4.483,"yucQ","EOD-FR",2
"100",12,4.683,"yucQ","EOD-FR",2
"119",1,5.605,"Col","EOD-FR",2
"120",2,5.767,"Col","EOD-FR",2
"121",3,7.542,"Col","EOD-FR",2
"122",4,7.909,"Col","EOD-FR",2
"123",5,6.849,"Col","EOD-FR",2
"124",6,4.252,"Col","EOD-FR",2
"125",7,7.227,"Col","EOD-FR",2
"126",8,6.906,"Col","EOD-FR",2
"127",9,8.387,"Col","EOD-FR",2
"128",10,7.262,"Col","EOD-FR",2
"129",11,7.34,"Col","EOD-FR",2
"152",1,7.52,"yucT46-8","EOD-FR",2
"153",2,7.084,"yucT46-8","EOD-FR",2
"154",3,6.346,"yucT46-8","EOD-FR",2
"155",4,5.039,"yucT46-8","EOD-FR",2
"156",5,5.213,"yucT46-8","EOD-FR",2
"157",6,5.602,"yucT46-8","EOD-FR",2
"158",7,5.363,"yucT46-8","EOD-FR",2
"159",8,5.381,"yucT46-8","EOD-FR",2
"160",1,6.743,"yucT18-11","EOD-FR",2
"161",2,7.508,"yucT18-11","EOD-FR",2
"162",3,6.05,"yucT18-11","EOD-FR",2
"163",4,7.279,"yucT18-11","EOD-FR",2
"164",5,6.359,"yucT18-11","EOD-FR",2
"165",6,4.877,"yucT18-11","EOD-FR",2
"166",7,5.369,"yucT18-11","EOD-FR",2
"167",8,5.038,"yucT18-11","EOD-FR",2
"168",9,6.811,"yucT18-11","EOD-FR",2
