"","measurement","petiole.length","plant","petiole","gt","treat","plate"
"1",1,5.792,1,NA,"Col","sd",1
"2",2,4.658,1,NA,"Col","sd",1
"3",3,5.263,1,NA,"Col","sd",1
"4",4,5.356,1,NA,"Col","sd",1
"5",5,4.819,2,NA,"Col","sd",1
"6",6,4.852,2,NA,"Col","sd",1
"7",7,4.698,2,NA,"Col","sd",1
"8",8,4.807,2,NA,"Col","sd",1
"9",9,4.672,3,NA,"Col","sd",1
"10",10,3.912,3,NA,"Col","sd",1
"11",11,4.122,3,NA,"Col","sd",1
"12",12,5.029,3,NA,"Col","sd",1
"13",13,3.294,4,NA,"Col","sd",1
"14",14,3.124,4,NA,"Col","sd",1
"15",15,4.145,5,NA,"yucca35789","sd",1
"16",16,3.696,5,NA,"yucca35789","sd",1
"17",17,4.245,5,NA,"yucca35789","sd",1
"18",18,4.204,6,NA,"yucca35789","sd",1
"19",19,5.126,6,NA,"yucca35789","sd",1
"20",20,4.901,7,NA,"yucca35789","sd",1
"21",21,5.037,7,NA,"yucca35789","sd",1
"22",22,4.486,7,NA,"yucca35789","sd",1
"23",23,2.996,7,NA,"yucca35789","sd",1
"24",24,4.62,8,NA,"yucca35789","sd",1
"25",25,3.72,8,NA,"yucca35789","sd",1
"26",26,5.628,8,NA,"yucca35789","sd",1
"27",27,5.2,8,NA,"yucca35789","sd",1
"28",28,5.047,9,NA,"yucca589","sd",1
"29",29,4.582,9,NA,"yucca589","sd",1
"30",30,3.639,9,NA,"yucca589","sd",1
"31",31,2.046,9,NA,"yucca589","sd",1
"32",32,4.491,10,NA,"yucca589","sd",1
"33",33,4.96,10,NA,"yucca589","sd",1
"34",1,3.676,1,1,"Col","sd",2
"35",2,2.84,1,2,"Col","sd",2
"36",3,4.65,2,1,"Col","sd",2
"37",4,3.829,2,2,"Col","sd",2
"38",5,4.274,2,3,"Col","sd",2
"39",6,4.549,2,4,"Col","sd",2
"40",7,4.381,3,1,"Col","sd",2
"41",8,5.302,3,2,"Col","sd",2
"42",9,4.129,3,3,"Col","sd",2
"43",10,3.994,3,4,"Col","sd",2
"44",1,5.393,1,1,"yucca35789","sd",2
"45",2,4.491,1,2,"yucca35789","sd",2
"46",3,4.047,1,3,"yucca35789","sd",2
"47",4,3.592,1,4,"yucca35789","sd",2
"48",1,3.574,1,1,"yucca589","sd",2
"49",2,3.142,1,2,"yucca589","sd",2
"50",3,4.182,2,1,"yucca589","sd",2
"51",4,4.39,2,2,"yucca589","sd",2
"52",5,2.377,2,3,"yucca589","sd",2
"53",6,2.087,2,4,"yucca589","sd",2
"66",1,4.237,1,1,"yucca589","sd",3
"67",2,3.697,1,2,"yucca589","sd",3
"68",3,2.911,1,3,"yucca589","sd",3
"69",4,1.832,1,4,"yucca589","sd",3
"70",5,5.381,2,1,"yucca589","sd",3
"71",6,4.965,2,2,"yucca589","sd",3
"72",7,3.778,2,3,"yucca589","sd",3
"73",8,2.396,2,4,"yucca589","sd",3
"74",1,6.495,1,1,"Col","sd",4
"75",2,6.495,1,2,"Col","sd",4
"76",3,3.791,1,3,"Col","sd",4
"77",4,2.304,1,4,"Col","sd",4
"78",5,5.254,2,1,"Col","sd",4
"79",6,4.539,2,2,"Col","sd",4
"80",7,3.227,2,3,"Col","sd",4
"81",8,3.078,2,4,"Col","sd",4
"82",9,5.007,3,1,"Col","sd",4
"83",10,5.834,3,2,"Col","sd",4
"84",11,4.385,3,3,"Col","sd",4
"85",12,3.583,3,4,"Col","sd",4
"86",1,4.956,1,1,"Col","sd",5
"87",2,5.856,1,2,"Col","sd",5
"88",3,2.611,1,3,"Col","sd",5
"89",4,3.446,1,4,"Col","sd",5
"90",5,5.055,2,1,"Col","sd",5
"91",6,3.728,2,2,"Col","sd",5
"92",7,4.406,2,3,"Col","sd",5
"93",8,3.41,2,4,"Col","sd",5
"94",9,4.671,3,1,"Col","sd",5
"95",10,5.247,3,2,"Col","sd",5
"96",11,3.838,3,3,"Col","sd",5
"97",12,3.056,3,4,"Col","sd",5
"98",13,6.327,4,1,"Col","sd",5
"99",14,5.976,4,2,"Col","sd",5
"100",15,5.362,4,3,"Col","sd",5
"101",16,2.727,4,4,"Col","sd",5
"114",1,5.516,1,1,"yucca589","sd",6
"115",2,4.691,1,2,"yucca589","sd",6
"116",3,3.902,1,3,"yucca589","sd",6
"117",4,2.952,1,4,"yucca589","sd",6
"118",5,4.098,2,1,"yucca589","sd",6
"119",6,3.969,2,2,"yucca589","sd",6
"120",7,1.996,2,3,"yucca589","sd",6
"121",8,2.032,2,4,"yucca589","sd",6
"122",9,4.988,3,1,"yucca589","sd",6
"123",10,4.007,3,2,"yucca589","sd",6
