genotype,light,NPA,replicate,exp,scan_date,file,hypocotyl_mm
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0528-0249,2.753
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0582-0377,3.867
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0582-0526,2.839
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0492-0599,1.329
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0646-0665,2.723
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0573-0846,3.45
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0501-1043,3.829
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0568-1199,3.654
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0503-1354,3.14
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0449-1478,2.653
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0537-1548,2.747
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0807-1391,3.648
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0825-1141,3.538
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0901-1028,3.611
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0778-0829,2.61
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0864-0566,3.908
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0893-0248,3.565
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0927-0829,3.29
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0689-1661,2.749
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0975-1300,2.927
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0918-1590,2.628
