"set","treatment","plant","rep","leaf","petioleLength","bladeLength","bladeWidth","bladeArea","bladePerimeter","bladeCircularity","who.dissected","genotype"
3,"sun","yucQ","1","3",4.698,14.709,10.56,121.998,53.763,0.53,"Kazu","yuc2589"
3,"sun","yucQ","1","4",4.435,14.335,8.841,99.541,50.546,0.49,"Kazu","yuc2589"
3,"sun","yucQ","1","5",5.831,11.998,10.474,98.699,46.059,0.585,"Kazu","yuc2589"
3,"sun","yucQ","1","6",5.011,11.713,9.443,86.865,44.704,0.546,"Kazu","yuc2589"
3,"sun","yucQ","2","3",7.027,12.864,10.168,102.733,47.583,0.57,"Kazu","yuc2589"
3,"sun","yucQ","2","4",6.877,16.236,12.344,157.412,60.283,0.544,"Kazu","yuc2589"
3,"sun","yucQ","2","5",6.883,15.538,11.281,137.672,55.203,0.568,"Kazu","yuc2589"
3,"sun","yucQ","2","6",5.722,19.445,11.827,180.627,65.363,0.531,"Kazu","yuc2589"
3,"sun","yucQ","3","3",7.074,12.463,10.559,103.358,48.26,0.558,"Kazu","yuc2589"
3,"sun","yucQ","3","4",6.099,14.004,11.63,127.923,54.187,0.547,"Kazu","yuc2589"
3,"sun","yucQ","3","5",7.226,14.73,11.535,133.457,54.61,0.562,"Kazu","yuc2589"
3,"sun","yucQ","3","6",6.304,16.784,12.148,160.131,60.029,0.558,"Kazu","yuc2589"
3,"sun","Col","1","3",8.225,14.434,10.428,118.215,52.07,0.548,"Kazu","Col"
3,"sun","Col","1","4",9.417,16.282,9.758,124.785,53.763,0.542,"Kazu","Col"
3,"sun","Col","1","5",11.101,18.284,12.292,176.516,63.839,0.544,"Kazu","Col"
3,"sun","Col","1","6",8.394,17.91,11.679,164.276,62.145,0.535,"Kazu","Col"
3,"sun","Col","2","3",9.01,13.64,10.815,115.86,52.917,0.52,"Kazu","Col"
3,"sun","Col","2","4",10.371,14.742,13.028,150.84,76.962,0.32,"Kazu","Col"
3,"sun","Col","2","5",10.256,16.61,12.599,164.351,60.706,0.56,"Kazu","Col"
3,"sun","Col","2","6",10.917,18.271,11.572,166.059,60.875,0.563,"Kazu","Col"
3,"sun","Col","3","3",9.455,14.12,9.559,106.009,49.699,0.539,"Kazu","Col"
3,"sun","Col","3","4",10.66,16.099,12.629,159.679,58.843,0.58,"Kazu","Col"
3,"sun","Col","3","5",10.973,18.617,12.419,181.591,64.431,0.55,"Kazu","Col"
3,"sun","Col","3","6",8.904,18.683,10.716,157.245,60.791,0.535,"Kazu","Col"
3,"shade","yucQ","2","3",7.325,13.527,10.649,113.14,49.191,0.588,"Kazu","yuc2589"
3,"shade","yucQ","2","4",8.743,17.023,11.719,156.677,61.553,0.52,"Kazu","yuc2589"
3,"shade","yucQ","2","5",9.138,18.612,11.793,172.39,63.754,0.533,"Kazu","yuc2589"
3,"shade","yucQ","2","6",8.414,18.99,11.18,166.742,63.754,0.516,"Kazu","yuc2589"
3,"shade","yucQ","3","3",11.297,15.278,11.277,135.31,57.658,0.511,"Kazu","yuc2589"
3,"shade","yucQ","3","4",7.162,16.2,11.971,152.313,58.505,0.559,"Kazu","yuc2589"
3,"shade","yucQ","3","5",7.479,18.882,11.946,177.147,64.77,0.531,"Kazu","yuc2589"
3,"shade","yucQ","3","6",6.804,21.672,12.257,208.632,71.035,0.52,"Kazu","yuc2589"
3,"shade","Col","1","3",10.338,13.672,10.577,113.573,49.53,0.582,"Kazu","Col"
3,"shade","Col","1","4",10.498,15.337,11.774,141.822,57.065,0.547,"Kazu","Col"
3,"shade","Col","1","5",9.759,16.302,10.455,133.864,55.118,0.554,"Kazu","Col"
3,"shade","Col","1","6",9.096,17.66,10.47,145.218,60.198,0.504,"Kazu","Col"
3,"shade","Col","2","3",9.021,12.35,10.294,99.847,47.075,0.566,"Kazu","Col"
3,"shade","Col","2","4",12.339,15.296,11.794,141.693,57.827,0.532,"Kazu","Col"
3,"shade","Col","2","5",10.785,17.847,12.604,176.679,62.823,0.563,"Kazu","Col"
3,"shade","Col","2","6",9.832,18.554,11.573,168.641,62.653,0.54,"Kazu","Col"
3,"shade","Col","3","3",10.551,12.644,10.37,102.98,50.8,0.501,"Kazu","Col"
3,"shade","Col","3","4",11.176,14.401,11.379,128.706,53.763,0.56,"Kazu","Col"
3,"shade","Col","3","5",9.981,17.537,11.684,160.919,60.875,0.546,"Kazu","Col"
3,"shade","Col","3","6",9.945,17.767,11.693,163.161,61.299,0.546,"Kazu","Col"
3,"shade","yucQ","1","3",5.652,13.057,9.236,94.717,45.72,0.569,"Kazu","yuc2589"
3,"shade","yucQ","1","4",4.22,16.438,10.651,137.514,55.711,0.557,"Kazu","yuc2589"
3,"shade","yucQ","1","5",2.896,17.068,10.304,138.122,57.743,0.521,"Kazu","yuc2589"
3,"shade","yucQ","1","6",1.113,14.474,8.268,93.987,48.345,0.505,"Kazu","yuc2589"
4,"shade","yucQ","1","3",8.432,13.785,10.842,117.378,51.223,0.562,"Kazu","yuc2589"
4,"shade","yucQ","1","4",9.516,15.653,11.672,143.498,58.166,0.533,"Kazu","yuc2589"
4,"shade","yucQ","1","5",7.062,18.514,11.873,172.648,66.209,0.495,"Kazu","yuc2589"
