Timepoint,Genotype,Treatment,Int
0,Col,No FR,168136960
20,Col,No FR,168142176
40,Col,No FR,168159056
60,Col,No FR,168178192
80,Col,No FR,168198592
100,Col,No FR,168228112
120,Col,No FR,168247984
140,Col,No FR,168261136
160,Col,No FR,168271456
180,Col,No FR,168274176
200,Col,No FR,168272176
220,Col,No FR,168269168
240,Col,No FR,168262096
260,Col,No FR,168254928
280,Col,No FR,168250448
300,Col,No FR,168242720
320,Col,No FR,168238176
340,Col,No FR,168234448
360,Col,No FR,168229520
380,Col,No FR,168224064
400,Col,No FR,168214272
420,Col,No FR,168203792
440,Col,No FR,168191120
460,Col,No FR,168183296
480,Col,No FR,168176240
500,Col,No FR,168167328
520,Col,No FR,168160960
540,Col,No FR,168152640
560,Col,No FR,168148960
580,Col,No FR,168145936
600,Col,No FR,168144304
620,Col,No FR,168143056
640,Col,No FR,168142624
660,Col,No FR,168140336
680,Col,No FR,168146752
700,Col,No FR,168150368
720,Col,No FR,168156160
740,Col,No FR,168162912
760,Col,No FR,168169664
780,Col,No FR,168165872
800,Col,No FR,168164272
820,Col,No FR,168157856
840,Col,No FR,168154240
860,Col,No FR,168150032
880,Col,No FR,168140896
900,Col,No FR,168130528
920,Col,No FR,168122016
940,Col,No FR,168115008
960,Col,No FR,168108576
980,Col,No FR,168097424
1000,Col,No FR,168082048
1020,Col,No FR,168065376
1040,Col,No FR,168047744
1060,Col,No FR,168033024
0,Col,No FR,168134480
20,Col,No FR,168118592
40,Col,No FR,168118720
60,Col,No FR,168120752
80,Col,No FR,168120048
100,Col,No FR,168129696
120,Col,No FR,168130016
140,Col,No FR,168128576
160,Col,No FR,168124800
180,Col,No FR,168121984
200,Col,No FR,168124064
220,Col,No FR,168128720
240,Col,No FR,168131680
260,Col,No FR,168132992
280,Col,No FR,168134096
300,Col,No FR,168132368
320,Col,No FR,168131072
340,Col,No FR,168133008
360,Col,No FR,168130432
380,Col,No FR,168127552
400,Col,No FR,168121808
420,Col,No FR,168114448
440,Col,No FR,168106128
460,Col,No FR,168099664
480,Col,No FR,168090848
500,Col,No FR,168082048
520,Col,No FR,168077056
540,Col,No FR,168070880
560,Col,No FR,168068112
580,Col,No FR,168065312
600,Col,No FR,168062128
620,Col,No FR,168061952
640,Col,No FR,168058976
660,Col,No FR,168055168
680,Col,No FR,168061152
700,Col,No FR,168063600
720,Col,No FR,168068560
740,Col,No FR,168074464
760,Col,No FR,168082432
780,Col,No FR,168084832
800,Col,No FR,168092080
820,Col,No FR,168090544
840,Col,No FR,168087712
860,Col,No FR,168085824
880,Col,No FR,168079488
900,Col,No FR,168074448
920,Col,No FR,168067056
940,Col,No FR,168058384
960,Col,No FR,168049120
980,Col,No FR,168040896
1000,Col,No FR,168028208
1020,Col,No FR,168017088
1040,Col,No FR,168006400
1060,Col,No FR,167997072
0,Col,No FR,167868208
20,Col,No FR,167876304
40,Col,No FR,167881200
60,Col,No FR,167885792
80,Col,No FR,167892848
100,Col,No FR,167900448
120,Col,No FR,167905712
140,Col,No FR,167912304
160,Col,No FR,167916880
180,Col,No FR,167918496
200,Col,No FR,167921872
220,Col,No FR,167926672
240,Col,No FR,167926704
260,Col,No FR,167925760
280,Col,No FR,167926000
300,Col,No FR,167923984
320,Col,No FR,167918864
340,Col,No FR,167916240
360,Col,No FR,167911744
380,Col,No FR,167908384
400,Col,No FR,167904832
420,Col,No FR,167901392
440,Col,No FR,167897056
460,Col,No FR,167893568
480,Col,No FR,167890944
500,Col,No FR,167887936
520,Col,No FR,167887104
540,Col,No FR,167884016
560,Col,No FR,167882336
580,Col,No FR,167880320
600,Col,No FR,167877696
620,Col,No FR,167875728
640,Col,No FR,167875408
660,Col,No FR,167869920
680,Col,No FR,167875216
700,Col,No FR,167875136
720,Col,No FR,167874544
740,Col,No FR,167873568
760,Col,No FR,167874608
780,Col,No FR,167871936
800,Col,No FR,167875424
820,Col,No FR,167871328
840,Col,No FR,167868560
860,Col,No FR,167866768
880,Col,No FR,167864384
900,Col,No FR,167860304
920,Col,No FR,167855472
940,Col,No FR,167849680
960,Col,No FR,167846624
980,Col,No FR,167843232
1000,Col,No FR,167837424
1020,Col,No FR,167832128
1040,Col,No FR,167826784
1060,Col,No FR,167822560
0,Col,No FR,167974944
20,Col,No FR,167971168
40,Col,No FR,167970400
60,Col,No FR,167968864
80,Col,No FR,167963088
100,Col,No FR,167965168
120,Col,No FR,167962784
140,Col,No FR,167962880
160,Col,No FR,167963888
180,Col,No FR,167963104
200,Col,No FR,167963632
220,Col,No FR,167966272
240,Col,No FR,167967584
260,Col,No FR,167967840
280,Col,No FR,167971008
300,Col,No FR,167971968
320,Col,No FR,167969504
340,Col,No FR,167969408
360,Col,No FR,167966368
380,Col,No FR,167965312
400,Col,No FR,167961392
420,Col,No FR,167958384
440,Col,No FR,167952896
460,Col,No FR,167951168
480,Col,No FR,167949200
500,Col,No FR,167946992
520,Col,No FR,167946992
540,Col,No FR,167943552
560,Col,No FR,167943232
580,Col,No FR,167941440
600,Col,No FR,167939360
620,Col,No FR,167938544
640,Col,No FR,167938720
660,Col,No FR,167936432
680,Col,No FR,167941920
700,Col,No FR,167943504
720,Col,No FR,167946784
740,Col,No FR,167949968
760,Col,No FR,167954784
780,Col,No FR,167953456
800,Col,No FR,167957360
820,Col,No FR,167952400
840,Col,No FR,167947952
860,Col,No FR,167944928
880,Col,No FR,167938368
900,Col,No FR,167933888
920,Col,No FR,167927456
940,Col,No FR,167919536
960,Col,No FR,167913584
980,Col,No FR,167908080
1000,Col,No FR,167900496
1020,Col,No FR,167893696
1040,Col,No FR,167887600
1060,Col,No FR,167881696
0,Col,No FR,167854672
20,Col,No FR,167852816
40,Col,No FR,167858576
60,Col,No FR,167860288
80,Col,No FR,167853808
100,Col,No FR,167854320
120,Col,No FR,167850528
140,Col,No FR,167848224
160,Col,No FR,167848912
180,Col,No FR,167848304
200,Col,No FR,167848400
220,Col,No FR,167848368
240,Col,No FR,167849056
260,Col,No FR,167849280
280,Col,No FR,167849184
300,Col,No FR,167849888
320,Col,No FR,167851328
340,Col,No FR,167849728
360,Col,No FR,167845568
380,Col,No FR,167843072
400,Col,No FR,167839024
420,Col,No FR,167835808
440,Col,No FR,167833744
460,Col,No FR,167829808
480,Col,No FR,167827824
500,Col,No FR,167827008
520,Col,No FR,167827280
540,Col,No FR,167827824
560,Col,No FR,167828304
580,Col,No FR,167827984
600,Col,No FR,167829408
620,Col,No FR,167831296
640,Col,No FR,167832704
660,Col,No FR,167834304
680,Col,No FR,167835648
700,Col,No FR,167837488
720,Col,No FR,167839600
740,Col,No FR,167840896
760,Col,No FR,167844352
780,Col,No FR,167844576
800,Col,No FR,167851280
820,Col,No FR,167855824
840,Col,No FR,167858752
860,Col,No FR,167859072
880,Col,No FR,167858736
900,Col,No FR,167858640
920,Col,No FR,167855456
940,Col,No FR,167853776
960,Col,No FR,167849840
980,Col,No FR,167843520
1000,Col,No FR,167837440
1020,Col,No FR,167832208
1040,Col,No FR,167828096
1060,Col,No FR,167824704
0,Col,No FR,167926256
20,Col,No FR,167930768
40,Col,No FR,167934288
60,Col,No FR,167935680
80,Col,No FR,167931008
100,Col,No FR,167934880
120,Col,No FR,167935184
140,Col,No FR,167936608
160,Col,No FR,167939392
180,Col,No FR,167942336
200,Col,No FR,167945200
220,Col,No FR,167949024
240,Col,No FR,167952624
260,Col,No FR,167954752
280,Col,No FR,167955296
300,Col,No FR,167955392
320,Col,No FR,167954032
340,Col,No FR,167950720
360,Col,No FR,167946496
380,Col,No FR,167944336
400,Col,No FR,167939728
420,Col,No FR,167934816
440,Col,No FR,167931696
460,Col,No FR,167926672
480,Col,No FR,167922976
500,Col,No FR,167919856
520,Col,No FR,167917968
540,Col,No FR,167915200
560,Col,No FR,167913200
580,Col,No FR,167910704
600,Col,No FR,167910800
620,Col,No FR,167911472
640,Col,No FR,167912896
660,Col,No FR,167913616
680,Col,No FR,167914464
700,Col,No FR,167915472
720,Col,No FR,167918144
740,Col,No FR,167919136
760,Col,No FR,167924352
780,Col,No FR,167925888
800,Col,No FR,167933536
820,Col,No FR,167936928
840,Col,No FR,167936672
860,Col,No FR,167935056
880,Col,No FR,167932544
900,Col,No FR,167930576
920,Col,No FR,167925648
940,Col,No FR,167922720
960,Col,No FR,167917648
980,Col,No FR,167910832
1000,Col,No FR,167903520
1020,Col,No FR,167896880
1040,Col,No FR,167891248
1060,Col,No FR,167885696
0,Col,No FR,168008080
20,Col,No FR,168026464
40,Col,No FR,168054576
60,Col,No FR,168088192
80,Col,No FR,168121408
100,Col,No FR,168158176
120,Col,No FR,168185856
140,Col,No FR,168212304
160,Col,No FR,168230880
180,Col,No FR,168234608
200,Col,No FR,168228720
220,Col,No FR,168212736
240,Col,No FR,168188496
260,Col,No FR,168159712
280,Col,No FR,168130368
300,Col,No FR,168099936
320,Col,No FR,168073888
340,Col,No FR,168049536
360,Col,No FR,168027824
380,Col,No FR,168010224
400,Col,No FR,167994496
420,Col,No FR,167981792
440,Col,No FR,167973440
460,Col,No FR,167966512
480,Col,No FR,167961872
500,Col,No FR,167959936
520,Col,No FR,167958720
540,Col,No FR,167956592
560,Col,No FR,167953728
580,Col,No FR,167951088
600,Col,No FR,167950944
620,Col,No FR,167952592
640,Col,No FR,167954944
660,Col,No FR,167955776
680,Col,No FR,167958896
700,Col,No FR,167962608
720,Col,No FR,167968080
740,Col,No FR,167973232
760,Col,No FR,167981408
780,Col,No FR,167985312
800,Col,No FR,167993776
820,Col,No FR,167998624
840,Col,No FR,168002384
860,Col,No FR,168003552
880,Col,No FR,168001264
900,Col,No FR,168000192
920,Col,No FR,167995968
940,Col,No FR,167990784
960,Col,No FR,167984320
980,Col,No FR,167974608
1000,Col,No FR,167963904
1020,Col,No FR,167949920
1040,Col,No FR,167935312
1060,Col,No FR,167922096
0,Col,No FR,167926800
20,Col,No FR,167940464
40,Col,No FR,167962336
60,Col,No FR,167970240
80,Col,No FR,167969856
100,Col,No FR,167974144
120,Col,No FR,167973232
140,Col,No FR,167971472
160,Col,No FR,167971760
180,Col,No FR,167969984
200,Col,No FR,167973168
220,Col,No FR,167977120
240,Col,No FR,167978768
260,Col,No FR,167978704
280,Col,No FR,167976480
300,Col,No FR,167975056
320,Col,No FR,167974560
340,Col,No FR,167973440
360,Col,No FR,167971504
380,Col,No FR,167970976
400,Col,No FR,167968752
420,Col,No FR,167967888
440,Col,No FR,167966784
460,Col,No FR,167964720
480,Col,No FR,167961776
500,Col,No FR,167957216
520,Col,No FR,167952672
540,Col,No FR,167948624
560,Col,No FR,167945808
580,Col,No FR,167941200
600,Col,No FR,167940000
620,Col,No FR,167938944
640,Col,No FR,167937760
660,Col,No FR,167935632
680,Col,No FR,167937904
700,Col,No FR,167941072
720,Col,No FR,167943712
740,Col,No FR,167944624
760,Col,No FR,167946640
780,Col,No FR,167943216
800,Col,No FR,167949248
820,Col,No FR,167946496
840,Col,No FR,167942752
860,Col,No FR,167939728
880,Col,No FR,167933232
900,Col,No FR,167929200
920,Col,No FR,167922480
940,Col,No FR,167920096
960,Col,No FR,167914352
980,Col,No FR,167904496
1000,Col,No FR,167896880
1020,Col,No FR,167890352
1040,Col,No FR,167883232
1060,Col,No FR,167875984
0,yuccaQ,No FR,167696672
20,yuccaQ,No FR,167701152
40,yuccaQ,No FR,167703424
60,yuccaQ,No FR,167705040
80,yuccaQ,No FR,167703792
100,yuccaQ,No FR,167708688
120,yuccaQ,No FR,167710016
140,yuccaQ,No FR,167713312
160,yuccaQ,No FR,167714624
180,yuccaQ,No FR,167714240
200,yuccaQ,No FR,167714432
220,yuccaQ,No FR,167716128
240,yuccaQ,No FR,167716832
260,yuccaQ,No FR,167717008
280,yuccaQ,No FR,167716416
300,yuccaQ,No FR,167717648
320,yuccaQ,No FR,167717232
340,yuccaQ,No FR,167718080
360,yuccaQ,No FR,167717040
380,yuccaQ,No FR,167717120
400,yuccaQ,No FR,167716944
420,yuccaQ,No FR,167718160
440,yuccaQ,No FR,167718816
460,yuccaQ,No FR,167718800
480,yuccaQ,No FR,167718064
500,yuccaQ,No FR,167718496
520,yuccaQ,No FR,167719136
540,yuccaQ,No FR,167718672
560,yuccaQ,No FR,167718384
580,yuccaQ,No FR,167718032
600,yuccaQ,No FR,167718864
620,yuccaQ,No FR,167719584
640,yuccaQ,No FR,167719440
