"array_element_name","is_control","locus","description"
"244901_at","no","ATMG00640","hydrogen ion transporting ATP synthases, rotational mechanism;zinc ion binding"
"244902_at","no","ATMG00650","NADH dehydrogenase subunit 4L"
"244903_at","no","ATMG00660","hypothetical protein"
"244904_at","no","ATMG00670","hypothetical protein"
"244905_at","no","ATMG00680","hypothetical protein"
"244906_at","no","ATMG00690","hypothetical protein"
"244907_at","no","ATMG00710","Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
"244908_at","no","ATMG00720","hypothetical protein"
"244909_at","no","ATMG00740","hypothetical protein"
"244910_s_at","no","ATMG00750;AT2G07686","[ATMG00750, GAG/POL/ENV polyprotein];[AT2G07686, transposable element gene]"
"244911_at","no","ATMG00820","Reverse transcriptase (RNA-dependent DNA polymerase)"
"244912_at","no","AT2G07783;ATMG00830","[AT2G07783, pseudogene, similar to Ccl1, blastp match of 86% identity and 6.4e-177 P-value to GP|1694629|dbj|BAA12329.1||D84373 Ccl1 {Brassica napus}];[ATMG00830, cytochrome C biogenesis 382]"
"244913_at","no","ATMG00840","hypothetical protein"
"244914_at","no","ATMG00850;AT2G07682","[ATMG00850, DNA/RNA polymerases superfamily protein];[AT2G07682, transposable element gene]"
"244915_s_at","no","ATMG00860;AT2G07682","[ATMG00860, DNA/RNA polymerases superfamily protein];[AT2G07682, transposable element gene]"
"244916_at","no","ATMG00880;AT2G07682","[ATMG00880, hypothetical protein];[AT2G07682, transposable element gene]"
"244917_at","no","ATMG00870","hypothetical protein"
"244918_at","no","ATMG00890","hypothetical protein"
"244919_at","no","AT2G07768;ATMG00960","[AT2G07768, Cytochrome C assembly protein];[ATMG00960, Cytochrome C assembly protein]"
"244920_s_at","no","AT2G07751;ATMG00990","[AT2G07751, NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein];[ATMG00990, NADH dehydrogenase 3]"
"244921_s_at","no","ATMG01000","hypothetical protein"
"244922_s_at","no","AT2G07674;ATMG01010","[AT2G07674, Unknown conserved protein];[ATMG01010, Unknown conserved protein]"
"244923_s_at","no","ATMG01020","hypothetical protein"
"244924_at","no","ATMG01040;AT2G07664","[ATMG01040, hypothetical protein];[AT2G07664, Pseudogene of ATMG01040]"
"244925_at","no","ATMG00510","NADH dehydrogenase subunit 7"
"244926_s_at","no","AT2G07712;ATMG00520","[AT2G07712, pseudogene, similar to maturase-related protein, blastp match of 86% identity and 2.9e-305 P-value to GP|840924|gb|AAA67711.1||U09988 maturase-related protein {Glycine max}];[ATMG00520, Intron maturase, type II family protein]"
"244927_at","no","AT2G07663;ATMG00530;AT2G07776","[AT2G07663, Pseudogene of AT2G07776];[ATMG00530, hypothetical protein];[AT2G07776, unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:ATMG00530.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).]"
"244928_s_at","no","ATMG00570;AT2G07716","[ATMG00570, Sec-independent periplasmic protein translocase];[AT2G07716, pseudogene, similar to orfx, blastp match of 85% identity and 5.5e-116 P-value to GP|287897|emb|CAA42649.1||X60046 orfx {Oenothera berteriana}]"
"244929_at","no","ATMG00580","NADH dehydrogenase subunit 4"
"244930_at","no","ATMG00600;AT2G07809","[ATMG00600, hypothetical protein];[AT2G07809, Pseudogene of ATMG00600]"
"244931_at","no","ATMG00630","hypothetical protein"
"244932_at","no","ATCG01060","iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding"
"244933_at","no","ATCG01070","NADH-ubiquinone/plastoquinone oxidoreductase chain 4L"
"244934_at","no","ATCG01080","NADH:ubiquinone/plastoquinone oxidoreductase, chain 6"
"244935_at","no","ATCG01090","NADPH dehydrogenases"
"244936_at","no","ATCG01100","NADH dehydrogenase family protein"
"244937_at","no","ATCG01110","NAD(P)H dehydrogenase subunit H"
"244938_at","no","ATCG01120","chloroplast ribosomal protein S15"
"244939_at","no","ATCG00065","ribosomal protein S12A"
"244940_at","no","ATCG01230;ATCG00905","[ATCG01230, ribosomal protein S12B];[ATCG00905, ribosomal protein S12C]"
"244941_at","no","ATMG00010","hypothetical protein"
"244942_at","no","ATMG00050","hypothetical protein"
"244943_at","no","ATMG00070","NADH dehydrogenase subunit 9"
"244944_s_at","no","ATMG00080;ATMG00090","[ATMG00080, ribosomal protein L16];[ATMG00090, structural constituent of ribosome;protein binding]"
"244945_at","no","ATMG00110","cytochrome C biogenesis 206"
"244947_at","no","ATMG00130","hypothetical protein"
"244948_at","no","ATMG00140","hypothetical protein"
"244949_at","no","ATMG00150","hypothetical protein"
"244950_at","no","ATMG00160","cytochrome oxidase 2"
"244951_s_at","no","AT2G07723;ATMG00180","[AT2G07723, pseudogene, similar to orf454~homology with two ORFs from Marchantia polymorpha mtDNA (orf169 and orf322), high similarity to 3'-terminal part of ccl1 of Rhodobacter, blastp match of 76% identity and 3.4e-193 P-value to GP|459537|emb|CAA54966.1||X78036 orf454~homology with two ORFs from Marchantia polymorpha mtDNA (orf169 and orf322), high similarity to 3'-terminal part of ccl1 of Rhodobacter {Oenothera berteriana}];[ATMG00180, cytochrome C biogenesis 452]"
"244952_at","no","ATMG00260;AT2G07799","[ATMG00260, hypothetical protein];[AT2G07799, Pseudogene of ATMG00260]"
"244953_s_at","no","ATMG00270;AT2G07731","[ATMG00270, NADH dehydrogenase 6];[AT2G07731, pseudogene, similar to NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3). (Field mustard), blastp match of 96% identity and 3.7e-99 P-value to SP|Q01825|NU6M_ARATH NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3). (Field mustard) {Brassica campestris}]"
"244954_s_at","no","ATMG00280;AT2G07732","[ATMG00280, Ribulose bisphosphate carboxylase large chain, catalytic domain];[AT2G07732, Ribulose bisphosphate carboxylase large chain, catalytic domain]"
"244955_at","no","ATMG00320","hypothetical protein"
"244956_s_at","no","ATMG00310;AT2G07737","[ATMG00310, RNA-directed DNA polymerase (reverse transcriptase)-related family protein];[AT2G07737, transposable element gene]"
"244957_at","no","ATMG00400","hypothetical protein"
"244958_at","no","ATMG00450","hypothetical protein"
"244959_s_at","no","AT2G07708;ATMG00500;ATMG00490","[AT2G07708, unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:ATMG00500.1); Has 9 Blast hits to 9 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 9; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).];[ATMG00500, hypothetical protein];[ATMG00490, Mitovirus RNA-dependent RNA polymerase]"
"244960_at","no","ATCG01020","ribosomal protein L32"
"244961_at","no","ATCG01040","Cytochrome C assembly protein"
"244962_at","no","ATCG01050","NADH-Ubiquinone/plastoquinone (complex I) protein"
"244963_at","no","ATCG00570","photosystem II reaction center protein F"
"244964_at","no","ATCG00580","photosystem II reaction center protein E"
"244965_at","no","ATCG00590","electron carriers"
"244966_at","no","ATCG00600","PETG"
"244967_at","no","ATCG00630","PSAJ"
"244968_at","no","ATCG00640","ribosomal protein L33"
"244969_at","no","ATCG00650","ribosomal protein S18"
"244970_at","no","ATCG00660","ribosomal protein L20"
"244971_at","no","ATCG00670","plastid-encoded CLP P"
"244972_at","no","ATCG00680","photosystem II reaction center protein B"
"244973_at","no","ATCG00690","photosystem II reaction center protein T"
"244974_at","no","ATCG00700","photosystem II reaction center protein N"
"244975_at","no","ATCG00710","photosystem II reaction center protein H"
"244976_at","no","ATCG00720","photosynthetic electron transfer B"
"244977_at","no","ATCG00730","photosynthetic electron transfer D"
"244978_at","no","ATCG00740","RNA polymerase subunit alpha"
"244979_at","no","ATCG00750","ribosomal protein S11"
"244980_at","no","ATCG00760","ribosomal protein L36"
"244981_at","no","ATCG00770","ribosomal protein S8"
"244982_at","no","ATCG00780","ribosomal protein L14"
"244983_at","no","ATCG00790","ribosomal protein L16"
"244984_at","no","ATCG00800","structural constituent of ribosome"
"244985_at","no","ATCG00810","ribosomal protein L22"
"244986_at","no","ATCG00820","ribosomal protein S19"
"244987_s_at","no","ATCG01310;ATCG00830","[ATCG01310, ribosomal protein L2];[ATCG00830, ribosomal protein L2]"
"244988_s_at","no","ATCG00840;ATCG01300","[ATCG00840, ribosomal protein L23.1];[ATCG01300, ribosomal protein L23]"
"244989_s_at","no","ATCG00860;ATCG01280","[ATCG00860, Chloroplast Ycf2;ATPase, AAA type, core];[ATCG01280, Chloroplast Ycf2;ATPase, AAA type, core]"
"244990_s_at","no","ATCG00870;ATCG01270","[ATCG00870, Protein precursor Ycf15, putative, chloroplast];[ATCG01270, Protein precursor Ycf15, putative, chloroplast]"
"244991_s_at","no","ATCG01250;ATCG00890","[ATCG01250, NADH-Ubiquinone/plastoquinone (complex I) protein];[ATCG00890, NADH-Ubiquinone/plastoquinone (complex I) protein]"
"244992_s_at","no","ATCG00900;ATCG01240","[ATCG00900, Ribosomal protein S7p/S5e family protein];[ATCG01240, ribosomal protein S7]"
"244993_s_at","no","ATCG01000;ATCG01130","[ATCG01000, Ycf1 protein];[ATCG01130, Ycf1 protein]"
"244994_at","no","ATCG01010","NADH-Ubiquinone oxidoreductase (complex I), chain 5 protein"
"244995_at","no","ATCG00150","ATPase, F0 complex, subunit A protein"
"244996_at","no","ATCG00160","ribosomal protein S2"
"244997_at","no","ATCG00170","DNA-directed RNA polymerase family protein"
"244998_at","no","ATCG00180","DNA-directed RNA polymerase family protein"
"244999_at","no","ATCG00190","RNA polymerase subunit beta"
"245000_at","no","ATCG00210","electron transporter, transferring electrons within cytochrome b6/f complex of photosystem IIs"
"245001_at","no","ATCG00220","photosystem II reaction center protein M"
"245002_at","no","ATCG00270","photosystem II reaction center protein D"
"245003_at","no","ATCG00280","photosystem II reaction center protein C"
"245004_at","no","ATCG00300","YCF9"
"245005_at","no","ATCG00330","chloroplast ribosomal protein S14"
"245006_at","no","ATCG00340","Photosystem I, PsaA/PsaB protein"
